size, IS
1,0.2777
2,0.3486
3,0.6172
4,0.9069
5,1.0121
6,1.361
7,1.6167
8,2.1162
9,2.5177
10,2.9129
11,3.4235
12,3.8638
13,4.3199
14,4.8789
15,5.9682
16,5.6416
17,6.8068
18,9.1955
19,7.7588
20,8.4745
21,9.3501
22,10.1084
23,10.9714
24,14.0876
25,15.0103
26,15.7896
27,16.7756
28,19.2402
29,19.2075
30,20.2542
31,22.4019
32,24.3982
33,25.7512
34,28.1068
35,30.2224
36,32.0996
37,34.5789
38,35.7617
39,36.5665
40,38.4972
41,40.0043
42,44.189
43,43.4396
44,46.4527
45,47.9278
46,50.8496
47,52.4562
48,57.4387
49,59.2624
50,66.2795
51,70.2134
52,69.9048
53,72.3152
54,73.5175
55,77.013
56,81.4161
57,83.7691
58,87.4352
59,91.7797
60,92.4862
61,97.4322
62,98.4954
63,109.003
