size, QS
1,0.7144
2,1.6398
3,2.3051
4,2.8379
5,3.3116
6,4.1298
7,4.903
8,5.5437
9,5.9025
10,6.6666
11,8.046
12,8.0138
13,8.5925
14,9.3652
15,11.4535
16,10.2892
17,12.4153
18,11.6652
19,14.1412
20,13.3758
21,14.4519
22,14.4639
23,17.9113
24,15.527
25,20.1537
26,17.7286
27,25.3664
28,22.6722
29,24.2269
30,20.5715
31,25.3792
32,21.9808
33,30.8213
34,23.2198
35,29.0214
36,25.1666
37,25.1235
38,25.4635
39,28.0756
40,30.3626
41,28.2076
42,30.327
43,30.9395
44,32.0505
45,44.5254
46,32.1477
47,46.5895
48,33.3462
49,48.4189
50,34.4007
51,53.6386
52,35.7265
53,36.479
54,37.4696
55,42.7689
56,40.2224
57,66.3932
58,42.2527
59,66.4136
60,44.3454
61,44.31
62,45.3377
63,45.6987
