size, IS
3,0.0054
4,0.0081
5,0.0104
6,0.0167
7,0.0165
8,0.0213
9,0.0349
10,0.0298
11,0.0341
12,0.0396
13,0.044
14,0.0493
15,0.0582
16,0.0576
17,0.0639
18,0.0711
19,0.0801
20,0.0864
21,0.0938
22,0.1047
23,0.1124
24,0.1467
25,0.1528
26,0.1753
27,0.1741
28,0.1977
29,0.1958
30,0.2095
31,0.2314
32,0.2463
33,0.2591
34,0.2962
35,0.3171
36,0.3782
37,0.3626
38,0.3662
39,0.387
40,0.4062
41,0.4112
42,0.4505
43,0.4635
44,0.4784
45,0.4938
46,0.5258
47,0.5416
48,0.6102
49,0.6213
50,0.666
51,0.7009
52,0.7252
53,0.7426
54,0.7657
55,0.8029
56,0.8337
57,0.867
58,0.9045
59,0.952
60,0.9762
61,1.0067
62,1.0336
63,1.0761
