size, QS
3,0.0203
4,0.0281
5,0.0332
6,0.0404
7,0.0462
8,0.0551
9,0.0598
10,0.0668
11,0.0803
12,0.0896
13,0.0866
14,0.1063
15,0.1161
16,0.119
17,0.1299
18,0.1168
19,0.1424
20,0.1385
21,0.1447
22,0.1478
23,0.1836
24,0.1602
25,0.1739
26,0.1779
27,0.1905
28,0.1922
29,0.2512
30,0.2532
31,0.2595
32,0.2929
33,0.2828
34,0.2867
35,0.2962
36,0.2599
37,0.2593
38,0.2604
39,0.2927
40,0.2913
41,0.2897
42,0.3087
43,0.3183
44,0.3327
45,0.444
46,0.3467
47,0.4898
48,0.3395
49,0.5031
50,0.3563
51,0.6876
52,0.3717
53,0.3768
54,0.3828
55,0.3986
56,0.4011
57,0.6396
58,0.4168
59,0.6782
60,0.4598
61,0.4662
62,0.4614
63,0.4659
